restaurant_name,address,phone_number,website_url,happy_hour_times,regular_hours,rating,review_count,price_level,source,freshness_date,latitude,longitude,cheapest_drink,cheapest_drink_price,cheapest_food,cheapest_food_price,menu_summary
The Rabbit Hole,"3377 Adams Ave, San Diego, CA 92116, USA",(619) 255-4653,http://rabbitholesd.com/,Monday: 04:00 PM - 06:00 PM | Tuesday: 04:00 PM - 06:00 PM | Wednesday: 04:00 PM - 06:00 PM | Thursday: 04:00 PM - 06:00 PM | Friday: 04:00 PM - 06:00 PM | Saturday: Closed | Sunday: Closed,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 PM – 1:00 AM | Saturday: 10:00 AM – 1:00 AM | Sunday: 10:00 AM – 11:00 PM,4.3,1377,PRICE_LEVEL_MODERATE,Website (AI parsed),2026-04-21,32.7631057,-117.1210771,,,,,
Rudford's Restaurant,"2900 El Cajon Blvd, San Diego, CA 92104, USA",(619) 282-8423,http://www.rudfords.com/,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.4,4724,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7556258,-117.13123399999999,,,,,
Lazy Dog Restaurant & Bar,"1202 Camino Del Rio N, San Diego, CA 92108, USA",(619) 481-6191,https://lazydogrestaurants.com/pages/san-diego-ca-mission-valley,Monday: 3:00 – 6:00 PM | Tuesday: 3:00 – 6:00 PM | Wednesday: 3:00 – 6:00 PM | Thursday: 3:00 – 6:00 PM | Friday: 3:00 – 6:00 PM | Saturday: Closed | Sunday: 9:00 PM – 12:00 AM,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 12:00 AM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 12:00 AM,4.4,4754,PRICE_LEVEL_MODERATE,Google Places API (Happy Hours),2026-04-21,32.7664841,-117.1542527,,,,,
The Ould Sod,"3373 Adams Ave, San Diego, CA 92116, USA",(619) 284-6594,http://www.theouldsod.com/,Monday: 3:00 – 6:00 PM | Tuesday: 3:00 – 6:00 PM | Wednesday: 3:00 – 6:00 PM | Thursday: 3:00 – 6:00 PM | Friday: 3:00 – 6:00 PM | Saturday: 10:00 AM – 4:00 PM | Sunday: 10:00 AM – 4:00 PM,Monday: 2:00 PM – 2:00 AM | Tuesday: 2:00 PM – 2:00 AM | Wednesday: 2:00 PM – 2:00 AM | Thursday: 2:00 PM – 2:00 AM | Friday: 2:00 PM – 2:00 AM | Saturday: 10:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM,4.6,666,PRICE_LEVEL_INEXPENSIVE,Google Places API (Happy Hours),2026-04-21,32.763031,-117.121231,,,,,
Zia Gourmet Pizza,"3311 Adams Ave A, San Diego, CA 92116, USA",(619) 284-4320,http://www.ziagourmetpizza.com/,,Monday: 5:00 – 11:00 PM | Tuesday: 5:00 – 11:00 PM | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 – 11:00 PM | Friday: 5:00 – 11:00 PM | Saturday: 5:00 – 11:00 PM | Sunday: 5:00 – 11:00 PM,4.8,634,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7632222,-117.12261939999998,,,,,
The Vibe,"3250 Adams Ave Ste 101, San Diego, CA 92116, USA",(619) 901-2281,https://thevibeco.com/,,Monday: 8:00 AM – 2:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 2:00 PM | Thursday: 8:00 AM – 2:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,4.4,381,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.763660699999996,-117.1236181,,,,,
Madi,"3737 Adams Ave, San Diego, CA 92116, USA",(619) 915-5522,http://brunchlikemadi.com/,,Monday: 8:30 AM – 2:00 PM | Tuesday: 8:30 AM – 2:00 PM | Wednesday: 8:30 AM – 2:00 PM | Thursday: 8:30 AM – 2:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: 8:00 AM – 2:00 PM,4.8,2592,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.7631116,-117.11245740000001,,,,,
Brothers Mexican Restaurant,"3531 39 Adams Ave, San Diego, CA 92116, USA",(619) 228-9673,https://www.clover.com/online-ordering/brothers-mexican-restau-san-diego,,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,4.4,196,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-04-21,32.7631328,-117.1166881,,,,,
So Saap,"4134 University Ave, San Diego, CA 92105, USA",(619) 539-7635,https://sosaap.com/?utm_source=google,,Monday: 10:30 AM – 11:00 PM | Tuesday: 10:30 AM – 11:00 PM | Wednesday: 10:30 AM – 11:00 PM | Thursday: 10:30 AM – 11:00 PM | Friday: 10:30 AM – 12:00 AM | Saturday: 10:30 AM – 12:00 AM | Sunday: 10:30 AM – 11:00 PM,4.4,476,PRICE_LEVEL_MODERATE,Google Places API,2026-04-21,32.7504451,-117.10611519999999,,,,,
Venice Pizza House Since 1954,"3333 El Cajon Blvd, San Diego, CA 92104, USA",(619) 283-2333,https://venicepizzahousesd.com/,Monday: 3:00 PM - 5:00 PM | Tuesday: 3:00 PM - 5:00 PM | Wednesday: 3:00 PM - 5:00 PM | Thursday: 3:00 PM - 5:00 PM | Friday: 3:00 PM - 5:00 PM | Saturday: 3:00 PM - 5:00 PM | Sunday: 3:00 PM - 5:00 PM,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,4.6,1035,PRICE_LEVEL_MODERATE,Website (AI parsed),2026-04-21,32.7550212,-117.12162149999997,,,,,
