restaurant_name,address,phone_number,website_url,happy_hour_times,regular_hours,rating,review_count,price_level,source,freshness_date,latitude,longitude,place_id,google_maps_url,generative_summary,cheapest_drink,cheapest_drink_price,cheapest_food,cheapest_food_price,menu_summary,menu_url
Rosemarie's Buns & Brews,"1774 Sunset Cliffs Blvd, San Diego, CA 92107, USA",(619) 228-9891,https://rosemariesburgers.com/,Monday: 03:00 PM - 06:00 PM | Tuesday: 03:00 PM - 06:00 PM | Wednesday: 03:00 PM - 06:00 PM | Thursday: 03:00 PM - 06:00 PM | Friday: 03:00 PM - 06:00 PM | Saturday: Closed | Sunday: Closed,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,4.8,162,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.7428248,-117.24949269999999,ChIJo4uA7rGr3oARQx18Ghdwj74,https://maps.google.com/?cid=13731317033406831939&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Sea Trader Liquor & Deli,"1403 Ebers St, San Diego, CA 92107, USA",(619) 223-3010,http://www.seatraderliquordeli.online/,,Monday: 7:30 AM – 10:30 PM | Tuesday: 7:30 AM – 10:30 PM | Wednesday: 7:30 AM – 10:30 PM | Thursday: 7:30 AM – 10:30 PM | Friday: 7:30 AM – 11:00 PM | Saturday: 7:30 AM – 11:00 PM | Sunday: 7:30 AM – 10:30 PM,4.5,132,,Google Places API,2026-05-05,32.735335,-117.25285230000001,ChIJ82QgKjOq3oARZRZozi0Wqgg,https://maps.google.com/?cid=624335884336502373&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Little Lion Cafe,"1424 Sunset Cliffs Blvd, San Diego, CA 92107, USA",(619) 756-6921,http://thelittlelioncafe.com/,,Monday: 8:00 AM – 3:00 PM | Tuesday: Closed | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 3:00 PM,4.5,703,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.7367925,-117.25470999999999,ChIJEe80jDKq3oARHdcnrehd71c,https://maps.google.com/?cid=6336386454652442397&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Goodspot,"4990 Coronado Ave, San Diego, CA 92107, USA",,,,Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 11:00 PM | Saturday: 8:00 AM – 11:00 PM | Sunday: 8:00 AM – 11:00 PM,4.8,18,,Google Places API,2026-05-05,32.7426982,-117.25452080000001,ChIJD3kjGaur3oARhnqwDY3Kpyo,https://maps.google.com/?cid=3073647977872521862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Ulivo Restaurant,"1776 Sunset Cliffs Blvd, San Diego, CA 92107, USA",(619) 224-2227,http://ulivorestaurant.com/,,Monday: Closed | Tuesday: 4:30 – 9:00 PM | Wednesday: 4:30 – 9:00 PM | Thursday: 4:30 – 9:00 PM | Friday: 4:30 – 9:00 PM | Saturday: 4:30 – 9:00 PM | Sunday: 4:30 – 9:00 PM,4.7,378,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.742812199999996,-117.2494839,ChIJSdTbzjaq3oAR0RD4MteauTE,https://maps.google.com/?cid=3583065227613704401&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Sunnie's Ocean Beach Mexican Food,"4723 Point Loma Ave, San Diego, CA 92107, USA",(619) 693-5298,https://www.sunniesoceanbeach.com/,Monday: 09:00 AM - 08:00 PM | Tuesday: 09:00 AM - 08:00 PM | Wednesday: 09:00 AM - 08:00 PM | Thursday: 09:00 AM - 08:00 PM | Friday: 09:00 AM - 08:00 PM | Saturday: Closed | Sunday: Closed,Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,4.6,825,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-05-05,32.7354242,-117.2536874,ChIJq-_azzKq3oARHI-ldRJ2Jzk,https://maps.google.com/?cid=4118390205908881180&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,Agua Fresca or Soda,,TJ Street Tacos,2.75,"TJ Street Tacos $2.75ea, California burrito $13.99, Roll Taco Wednesday $10.99",
Hugo's Cocina,"1830 Sunset Cliffs Blvd, San Diego, CA 92107, USA",(619) 892-7882,http://www.hugoscocina.com/,,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 8:30 AM – 9:00 PM | Sunday: 8:30 AM – 9:00 PM,4.4,849,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.7436609,-117.24869779999997,ChIJJ9Xd3jaq3oARntkOSjuOAqo,https://maps.google.com/?cid=12250510321697872286&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Chicken Over Rice co,"1830 D Sunset Cliffs Blvd Suite E, San Diego, CA 92107, USA",(619) 757-7742,https://www.chickenoverrice.co/,,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,4.9,198,PRICE_LEVEL_MODERATE,Google Places API,2026-05-05,32.7438322,-117.24863149999997,ChIJN0wMJz-r3oARPHdVC_phopg,https://maps.google.com/?cid=10998460966552041276&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
Rosaria's Pizza 4,"4719 Point Loma Ave, San Diego, CA 92107, USA",(619) 225-8786,http://www.rosariaspizzaoceanbeach.com/,,Monday: 3:00 – 10:00 PM | Tuesday: 3:00 – 10:00 PM | Wednesday: 3:00 – 10:00 PM | Thursday: 3:00 – 10:00 PM | Friday: 3:00 – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,4.5,162,PRICE_LEVEL_INEXPENSIVE,Google Places API,2026-05-05,32.7353966,-117.2536447,ChIJn_Mt0DKq3oARKh6hx8e7rLI,https://maps.google.com/?cid=12874871901467516458&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
The Cliffs Cafe,"1830 Sunset Cliffs Blvd UNIT D, San Diego, CA 92107, USA",(619) 226-4471,,,Monday: 6:30 AM – 3:00 PM | Tuesday: 6:30 AM – 3:00 PM | Wednesday: 6:30 AM – 3:00 PM | Thursday: 6:30 AM – 3:00 PM | Friday: 6:30 AM – 3:00 PM | Saturday: 6:30 AM – 3:00 PM | Sunday: 6:30 AM – 3:00 PM,4.7,272,,Google Places API,2026-05-05,32.743787999999995,-117.24866700000001,ChIJJ9Xd3jaq3oARPws4Ro6vVP0,https://maps.google.com/?cid=18254408215237757759&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,
